"mixture","Replication","Dilution","Response","celltype","phenotype"
"POD-L","6",0.001,1.38461921106303,"iCell Neurons","ATP"
"RFD-H","6",0.001,0.991394319255832,"iCell Neurons","ATP"
"RFD-L","6",0.001,1.01726110530767,"iCell Neurons","ATP"
"Expo-H","6",0.001,0.827737153658658,"iCell Neurons","ATP"
"Expo-L","6",0.001,1.0431278913595,"iCell Neurons","ATP"
"AC50-H","6",0.001,0.845147490424315,"iCell Neurons","ATP"
"POD-H","6",0.001,0.820524299855743,"iCell Neurons","ATP"
"AC50-L","1",0.1,0.904384829673825,"iCell Neurons","ATP"
"POD-L","1",0.1,1.03709228103271,"iCell Neurons","ATP"
"RFD-H","1",0.1,0.920397464300599,"iCell Neurons","ATP"
"RFD-L","1",0.1,1.04586632740354,"iCell Neurons","ATP"
"Expo-H","1",0.1,0.941455175590603,"iCell Neurons","ATP"
"Expo-L","1",0.1,1.01252495119437,"iCell Neurons","ATP"
"AC50-H","1",0.1,0.0094320998486477,"iCell Neurons","ATP"
"POD-H","1",0.1,0.0201803066529207,"iCell Neurons","ATP"
"AC50-L","2",0.01,1.04674373204062,"iCell Neurons","ATP"
"POD-L","2",0.01,1.04827919015552,"iCell Neurons","ATP"
"RFD-H","2",0.01,0.99322204917853,"iCell Neurons","ATP"
"RFD-L","2",0.01,1.05968545043761,"iCell Neurons","ATP"
"Expo-H","2",0.01,1.12812301213012,"iCell Neurons","ATP"
"Expo-L","2",0.01,0.984667353966966,"iCell Neurons","ATP"
"AC50-H","2",0.01,0.00877404637083507,"iCell Neurons","ATP"
"POD-H","2",0.01,0.014257825352607,"iCell Neurons","ATP"
"AC50-L","3",0.01,0.9655838031104,"iCell Neurons","ATP"
"POD-L","3",0.01,1.01888613481322,"iCell Neurons","ATP"
"RFD-H","3",0.01,0.913378227203931,"iCell Neurons","ATP"
"RFD-L","3",0.01,1.01120884423874,"iCell Neurons","ATP"
"Expo-H","3",0.01,1.1772576718068,"iCell Neurons","ATP"
"Expo-L","3",0.01,1.1463291583496,"iCell Neurons","ATP"
"AC50-H","3",0.01,0.0127223672377109,"iCell Neurons","ATP"
"POD-H","3",0.01,0.0133804207155235,"iCell Neurons","ATP"
"AC50-L","4",0.01,0.794408794707258,"iCell Neurons","ATP"
"POD-L","4",0.01,0.975227577973437,"iCell Neurons","ATP"
"RFD-H","4",0.01,1.16375665323584,"iCell Neurons","ATP"
"RFD-L","4",0.01,1.07993831766403,"iCell Neurons","ATP"
"Expo-H","4",0.01,1.14634631647018,"iCell Neurons","ATP"
"Expo-L","4",0.01,1.04959458787246,"iCell Neurons","ATP"
"AC50-H","4",0.01,0.0146744267024822,"iCell Neurons","ATP"
"POD-H","4",0.01,0.479281699248868,"iCell Neurons","ATP"
"AC50-L","5",0.01,0.863801422673233,"iCell Neurons","ATP"
"POD-L","5",0.01,0.965278814107347,"iCell Neurons","ATP"
"RFD-H","5",0.01,0.986419937322788,"iCell Neurons","ATP"
"RFD-L","5",0.01,0.980201959906482,"iCell Neurons","ATP"
"Expo-H","5",0.01,1.03591503755658,"iCell Neurons","ATP"
"Expo-L","5",0.01,0.921752972193205,"iCell Neurons","ATP"
