"mixture","Replication","Dilution","Response","celltype","phenotype"
"Expo-H","2",0.0001,0.973817228546024,"HUVECs","Total Tube Area"
"Expo-L","2",0.0001,0.883901529711282,"HUVECs","Total Tube Area"
"AC50-H","2",0.0001,1.35289874822459,"HUVECs","Total Tube Area"
"POD-H","2",0.0001,0.917253443141223,"HUVECs","Total Tube Area"
"RFD-L","2",0.0001,0.980968735369519,"HUVECs","Total Tube Area"
"AC50-L","3",0.0001,0.974452289709306,"HUVECs","Total Tube Area"
"POD-L","3",0.0001,0.959209745581495,"HUVECs","Total Tube Area"
"RFD-H","3",0.0001,0.902615434975194,"HUVECs","Total Tube Area"
"Expo-H","3",0.0001,0.86574001318992,"HUVECs","Total Tube Area"
"Expo-L","3",0.0001,0.984657588566316,"HUVECs","Total Tube Area"
"AC50-H","3",0.0001,0.96278109631995,"HUVECs","Total Tube Area"
"POD-H","3",0.0001,1.15746368938005,"HUVECs","Total Tube Area"
"RFD-L","3",0.0001,1.13912381567171,"HUVECs","Total Tube Area"
"AC50-L","4",0.0001,1.1455346574098,"HUVECs","Total Tube Area"
"POD-L","4",0.0001,1.08870293440991,"HUVECs","Total Tube Area"
"RFD-H","4",0.0001,1.0774162572832,"HUVECs","Total Tube Area"
"Expo-H","4",0.0001,0.972123838197885,"HUVECs","Total Tube Area"
"Expo-L","4",0.0001,1.03617723729737,"HUVECs","Total Tube Area"
"AC50-H","4",0.0001,1.23017274716685,"HUVECs","Total Tube Area"
"POD-H","4",0.0001,1.30999961792556,"HUVECs","Total Tube Area"
"RFD-L","4",0.0001,1.1870703714926,"HUVECs","Total Tube Area"
"AC50-L","5",0.0001,0.99061353076244,"HUVECs","Total Tube Area"
"POD-L","5",0.0001,0.92536897679578,"HUVECs","Total Tube Area"
"RFD-H","5",0.0001,1.01657509824343,"HUVECs","Total Tube Area"
"Expo-H","5",0.0001,1.02958137098839,"HUVECs","Total Tube Area"
"Expo-L","5",0.0001,1.02156719013645,"HUVECs","Total Tube Area"
"AC50-H","5",0.0001,1.01801666042646,"HUVECs","Total Tube Area"
"POD-H","5",0.0001,1.07894591029966,"HUVECs","Total Tube Area"
"RFD-L","5",0.0001,0.931408567735309,"HUVECs","Total Tube Area"
"AC50-L","6",0.0001,1.13050281674349,"HUVECs","Total Tube Area"
"POD-L","6",0.0001,0.94480421238898,"HUVECs","Total Tube Area"
"RFD-H","6",0.0001,0.964763197505434,"HUVECs","Total Tube Area"
"Expo-H","6",0.0001,1.03025815878795,"HUVECs","Total Tube Area"
"Expo-L","6",0.0001,0.940067114790123,"HUVECs","Total Tube Area"
"AC50-H","6",0.0001,1.09030670882586,"HUVECs","Total Tube Area"
"POD-H","6",0.0001,1.11847461287337,"HUVECs","Total Tube Area"
"RFD-L","6",0.0001,1.10400363455481,"HUVECs","Total Tube Area"
"AC50-L","1",0.001,0.9224908632911,"HUVECs","Total Tube Area"
"POD-L","1",0.001,1.07041892488137,"HUVECs","Total Tube Area"
"RFD-H","1",0.001,1.0016967169094,"HUVECs","Total Tube Area"
"Expo-H","1",0.001,1.13382974779213,"HUVECs","Total Tube Area"
"Expo-L","1",0.001,1.1610263326091,"HUVECs","Total Tube Area"
"AC50-H","1",0.001,0.0138288365616384,"HUVECs","Total Tube Area"
"POD-H","1",0.001,1.27956107108334,"HUVECs","Total Tube Area"
"RFD-L","1",0.001,0.989059772673835,"HUVECs","Total Tube Area"
"AC50-L","2",0.001,0.65701548500913,"HUVECs","Total Tube Area"
"POD-L","2",0.001,0.720869999550683,"HUVECs","Total Tube Area"
"RFD-H","2",0.001,0.949361161098439,"HUVECs","Total Tube Area"
"Expo-H","2",0.001,0.859562964722039,"HUVECs","Total Tube Area"
"Expo-L","2",0.001,0.993862306539503,"HUVECs","Total Tube Area"
"AC50-H","2",0.001,0.0421694713199956,"HUVECs","Total Tube Area"
"POD-H","2",0.001,1.0883020946134,"HUVECs","Total Tube Area"
"RFD-L","2",0.001,0.944023653509025,"HUVECs","Total Tube Area"
"AC50-L","3",0.001,0.979376630869427,"HUVECs","Total Tube Area"
"POD-L","3",0.001,0.903407133470539,"HUVECs","Total Tube Area"
"RFD-H","3",0.001,1.04240892171413,"HUVECs","Total Tube Area"
"Expo-H","3",0.001,0.922495265964393,"HUVECs","Total Tube Area"
"Expo-L","3",0.001,1.05154407744928,"HUVECs","Total Tube Area"
"AC50-H","3",0.001,0.0154340084402671,"HUVECs","Total Tube Area"
"POD-H","3",0.001,1.13482592600266,"HUVECs","Total Tube Area"
"RFD-L","3",0.001,1.08019794712639,"HUVECs","Total Tube Area"
"AC50-L","4",0.001,1.08725209402075,"HUVECs","Total Tube Area"
"POD-L","4",0.001,1.12489888449379,"HUVECs","Total Tube Area"
"RFD-H","4",0.001,1.0732074961859,"HUVECs","Total Tube Area"
"Expo-H","4",0.001,1.09409357216826,"HUVECs","Total Tube Area"
"Expo-L","4",0.001,1.00005540861298,"HUVECs","Total Tube Area"
"AC50-H","4",0.001,0.334297363274556,"HUVECs","Total Tube Area"
"POD-H","4",0.001,1.19274842514179,"HUVECs","Total Tube Area"
"RFD-L","4",0.001,1.03186182895439,"HUVECs","Total Tube Area"
"AC50-L","5",0.001,1.01785444819355,"HUVECs","Total Tube Area"
"POD-L","5",0.001,0.971521276047326,"HUVECs","Total Tube Area"
"RFD-H","5",0.001,0.977820448259328,"HUVECs","Total Tube Area"
"Expo-H","5",0.001,1.03241810432384,"HUVECs","Total Tube Area"
"Expo-L","5",0.001,0.986891510613408,"HUVECs","Total Tube Area"
"AC50-H","5",0.001,0.156710295781184,"HUVECs","Total Tube Area"
"POD-H","5",0.001,1.05611766600157,"HUVECs","Total Tube Area"
"RFD-L","5",0.001,1.10150988209746,"HUVECs","Total Tube Area"
"AC50-L","6",0.001,0.930792140400317,"HUVECs","Total Tube Area"
"POD-L","6",0.001,0.903263911327871,"HUVECs","Total Tube Area"
"RFD-H","6",0.001,0.861436142251163,"HUVECs","Total Tube Area"
"Expo-H","6",0.001,1.10119932281605,"HUVECs","Total Tube Area"
"Expo-L","6",0.001,1.03569518757692,"HUVECs","Total Tube Area"
"AC50-H","6",0.001,0.273664781435957,"HUVECs","Total Tube Area"
"POD-H","6",0.001,1.03341462536141,"HUVECs","Total Tube Area"
"RFD-L","6",0.001,0.977788026662645,"HUVECs","Total Tube Area"
"AC50-L","1",0.1,0.889434809506477,"HUVECs","Total Tube Area"
"POD-L","1",0.1,1.08640542295859,"HUVECs","Total Tube Area"
"RFD-H","1",0.1,1.04454050044845,"HUVECs","Total Tube Area"
"Expo-H","1",0.1,1.12069696470653,"HUVECs","Total Tube Area"
"Expo-L","1",0.1,1.16053479859519,"HUVECs","Total Tube Area"
"AC50-H","1",0.1,0.000317554300505591,"HUVECs","Total Tube Area"
"POD-H","1",0.1,0.631154377757831,"HUVECs","Total Tube Area"
"RFD-L","1",0.1,1.15189557954724,"HUVECs","Total Tube Area"
"AC50-L","2",0.01,0.903128786681209,"HUVECs","Total Tube Area"
"POD-L","2",0.01,0.953324056248456,"HUVECs","Total Tube Area"
"RFD-H","2",0.01,0.876249781364467,"HUVECs","Total Tube Area"
"Expo-H","2",0.01,0.907009009410494,"HUVECs","Total Tube Area"
"Expo-L","2",0.01,0.992979228114024,"HUVECs","Total Tube Area"
"AC50-H","2",0.01,0,"HUVECs","Total Tube Area"
"POD-H","2",0.01,0.83525042442382,"HUVECs","Total Tube Area"
"RFD-L","2",0.01,0.996546274016369,"HUVECs","Total Tube Area"
"AC50-L","3",0.01,0.983804937505153,"HUVECs","Total Tube Area"
"POD-L","3",0.01,0.967796719573021,"HUVECs","Total Tube Area"
"RFD-H","3",0.01,1.03407857465702,"HUVECs","Total Tube Area"
"Expo-H","3",0.01,1.0273055020624,"HUVECs","Total Tube Area"
"Expo-L","3",0.01,1.12098401900526,"HUVECs","Total Tube Area"
"AC50-H","3",0.01,0,"HUVECs","Total Tube Area"
"POD-H","3",0.01,0.425057316079974,"HUVECs","Total Tube Area"
"RFD-L","3",0.01,0.963768567021076,"HUVECs","Total Tube Area"
"AC50-L","4",0.01,1.17049970385321,"HUVECs","Total Tube Area"
"POD-L","4",0.01,1.00375428537145,"HUVECs","Total Tube Area"
"RFD-H","4",0.01,0.891675953125877,"HUVECs","Total Tube Area"
"Expo-H","4",0.01,1.01804449504484,"HUVECs","Total Tube Area"
"Expo-L","4",0.01,1.11840507845218,"HUVECs","Total Tube Area"
"AC50-H","4",0.01,0.134517126447824,"HUVECs","Total Tube Area"
"POD-H","4",0.01,0.693467043056037,"HUVECs","Total Tube Area"
"RFD-L","4",0.01,1.0740186616,"HUVECs","Total Tube Area"
"AC50-L","5",0.01,1.08511987885373,"HUVECs","Total Tube Area"
"POD-L","5",0.01,1.07229906598175,"HUVECs","Total Tube Area"
"RFD-H","5",0.01,1.12039353354903,"HUVECs","Total Tube Area"
"Expo-H","5",0.01,1.00251663522415,"HUVECs","Total Tube Area"
"Expo-L","5",0.01,1.02833454688447,"HUVECs","Total Tube Area"
"AC50-H","5",0.01,0,"HUVECs","Total Tube Area"
"POD-H","5",0.01,1.08162032715268,"HUVECs","Total Tube Area"
"RFD-L","5",0.01,1.11220786225805,"HUVECs","Total Tube Area"
"AC50-L","6",0.01,1.01236175016783,"HUVECs","Total Tube Area"
"POD-L","6",0.01,1.11738530977454,"HUVECs","Total Tube Area"
"RFD-H","6",0.01,0.889010710229478,"HUVECs","Total Tube Area"
"Expo-H","6",0.01,0.932140920522104,"HUVECs","Total Tube Area"
"Expo-L","6",0.01,1.05333660190288,"HUVECs","Total Tube Area"
"AC50-H","6",0.01,0.092304676690222,"HUVECs","Total Tube Area"
"POD-H","6",0.01,0.40159068067787,"HUVECs","Total Tube Area"
"RFD-L","6",0.01,0.995920768915174,"HUVECs","Total Tube Area"
"AC50-L","1",0.1,0.889434809506477,"HUVECs","Total Tube Area"
"POD-L","1",0.1,1.08640542295859,"HUVECs","Total Tube Area"
"RFD-H","1",0.1,1.04454050044845,"HUVECs","Total Tube Area"
"Expo-H","1",0.1,1.12069696470653,"HUVECs","Total Tube Area"
"Expo-L","1",0.1,1.16053479859519,"HUVECs","Total Tube Area"
"AC50-H","1",0.1,0.000317554300505591,"HUVECs","Total Tube Area"
"POD-H","1",0.1,0.631154377757831,"HUVECs","Total Tube Area"
"RFD-L","1",0.1,1.15189557954724,"HUVECs","Total Tube Area"
"AC50-L","2",0.1,0.837956209592784,"HUVECs","Total Tube Area"
"POD-L","2",0.1,0.679118127907003,"HUVECs","Total Tube Area"
"RFD-H","2",0.1,0.93580200356367,"HUVECs","Total Tube Area"
"Expo-H","2",0.1,1.04965611330387,"HUVECs","Total Tube Area"
"Expo-L","2",0.1,1.01198028551385,"HUVECs","Total Tube Area"
"AC50-H","2",0.1,0,"HUVECs","Total Tube Area"
"POD-H","2",0.1,0.00189227566888776,"HUVECs","Total Tube Area"
"RFD-L","2",0.1,1.12609102218847,"HUVECs","Total Tube Area"
"AC50-L","3",0.1,1.02395164338464,"HUVECs","Total Tube Area"
"POD-L","3",0.1,1.19097214230487,"HUVECs","Total Tube Area"
"RFD-H","3",0.1,1.28194056924267,"HUVECs","Total Tube Area"
"Expo-H","3",0.1,1.06093586011885,"HUVECs","Total Tube Area"
"Expo-L","3",0.1,1.10484968894257,"HUVECs","Total Tube Area"
"AC50-H","3",0.1,0,"HUVECs","Total Tube Area"
"POD-H","3",0.1,0.0436832907865672,"HUVECs","Total Tube Area"
"RFD-L","3",0.1,1.07272445812937,"HUVECs","Total Tube Area"
"AC50-L","4",0.1,1.03987611405584,"HUVECs","Total Tube Area"
"POD-L","4",0.1,1.27721971568762,"HUVECs","Total Tube Area"
"RFD-H","4",0.1,1.16042742923374,"HUVECs","Total Tube Area"
"Expo-H","4",0.1,1.05459270421293,"HUVECs","Total Tube Area"
"Expo-L","4",0.1,1.00658632747908,"HUVECs","Total Tube Area"
"AC50-H","4",0.1,0,"HUVECs","Total Tube Area"
"POD-H","4",0.1,0.452355030244606,"HUVECs","Total Tube Area"
"RFD-L","4",0.1,1.05877363069185,"HUVECs","Total Tube Area"
"AC50-L","5",0.1,1.10550076172509,"HUVECs","Total Tube Area"
"POD-L","5",0.1,1.21789882720868,"HUVECs","Total Tube Area"
"RFD-H","5",0.1,1.09632315637483,"HUVECs","Total Tube Area"
"Expo-H","5",0.1,1.05370272617152,"HUVECs","Total Tube Area"
"Expo-L","5",0.1,1.14550682279142,"HUVECs","Total Tube Area"
"AC50-H","5",0.1,0,"HUVECs","Total Tube Area"
"POD-H","5",0.1,0.182653306849928,"HUVECs","Total Tube Area"
"RFD-L","5",0.1,1.08975512468423,"HUVECs","Total Tube Area"
"AC50-L","6",0.1,0.961481527274043,"HUVECs","Total Tube Area"
"POD-L","6",0.1,1.00309136275633,"HUVECs","Total Tube Area"
"RFD-H","6",0.1,0.990497709560144,"HUVECs","Total Tube Area"
"Expo-H","6",0.1,0.979869263820735,"HUVECs","Total Tube Area"
"Expo-L","6",0.1,1.14153449957604,"HUVECs","Total Tube Area"
"AC50-H","6",0.1,0,"HUVECs","Total Tube Area"
"POD-H","6",0.1,0.502646556172267,"HUVECs","Total Tube Area"
"RFD-L","6",0.1,0.973676634604904,"HUVECs","Total Tube Area"
"AC50-L","1",1,0.99034310302028,"HUVECs","Total Tube Area"
"POD-L","1",1,0.000822161115486743,"HUVECs","Total Tube Area"
"RFD-H","1",1,1.37131248900708,"HUVECs","Total Tube Area"
"Expo-H","1",1,1.21199598349007,"HUVECs","Total Tube Area"
"Expo-L","1",1,1.24555668147131,"HUVECs","Total Tube Area"
"AC50-H","1",1,0,"HUVECs","Total Tube Area"
"POD-H","1",1,0.00271878681343581,"HUVECs","Total Tube Area"
"RFD-L","1",1,1.16110029752043,"HUVECs","Total Tube Area"
"AC50-L","2",1,1.23799631305463,"HUVECs","Total Tube Area"
"POD-L","2",1,0,"HUVECs","Total Tube Area"
"RFD-H","2",1,1.25630566156147,"HUVECs","Total Tube Area"
"Expo-H","2",1,1.15421412514075,"HUVECs","Total Tube Area"
"Expo-L","2",1,1.03399159740018,"HUVECs","Total Tube Area"
"AC50-H","2",1,0,"HUVECs","Total Tube Area"
"POD-H","2",1,0.0241776274076783,"HUVECs","Total Tube Area"
"RFD-L","2",1,1.40018825341817,"HUVECs","Total Tube Area"
"AC50-L","3",1,1.28114887074732,"HUVECs","Total Tube Area"
"POD-L","3",1,0.00234033156444519,"HUVECs","Total Tube Area"
"RFD-H","3",1,1.30938947615795,"HUVECs","Total Tube Area"
"Expo-H","3",1,1.11522453963997,"HUVECs","Total Tube Area"
"Expo-L","3",1,1.21250933519609,"HUVECs","Total Tube Area"
"AC50-H","3",1,0,"HUVECs","Total Tube Area"
"POD-H","3",1,0.000587257952603803,"HUVECs","Total Tube Area"
"RFD-L","3",1,1.14171209838233,"HUVECs","Total Tube Area"
"AC50-L","4",1,0.932845438690526,"HUVECs","Total Tube Area"
"POD-L","4",1,0.359007441486185,"HUVECs","Total Tube Area"
"RFD-H","4",1,1.3855527801441,"HUVECs","Total Tube Area"
"Expo-H","4",1,1.25562912153684,"HUVECs","Total Tube Area"
"Expo-L","4",1,1.3793324205594,"HUVECs","Total Tube Area"
"AC50-H","4",1,0,"HUVECs","Total Tube Area"
"POD-H","4",1,0.14186386286311,"HUVECs","Total Tube Area"
"RFD-L","4",1,1.15587568725836,"HUVECs","Total Tube Area"
"AC50-L","5",1,1.28580862407174,"HUVECs","Total Tube Area"
"POD-L","5",1,0.0426249780888907,"HUVECs","Total Tube Area"
"RFD-H","5",1,1.4534394336166,"HUVECs","Total Tube Area"
"Expo-H","5",1,1.23589719184667,"HUVECs","Total Tube Area"
"Expo-L","5",1,1.26535831102872,"HUVECs","Total Tube Area"
"AC50-H","5",1,0,"HUVECs","Total Tube Area"
"POD-H","5",1,0.15651560982683,"HUVECs","Total Tube Area"
"RFD-L","5",1,1.44607410169633,"HUVECs","Total Tube Area"
"AC50-L","6",1,0.905145719179037,"HUVECs","Total Tube Area"
"POD-L","6",1,0.268617072430942,"HUVECs","Total Tube Area"
"RFD-H","6",1,1.20359006112305,"HUVECs","Total Tube Area"
"Expo-H","6",1,1.15653850562397,"HUVECs","Total Tube Area"
"Expo-L","6",1,1.26207664079733,"HUVECs","Total Tube Area"
"AC50-H","6",1,0,"HUVECs","Total Tube Area"
"POD-H","6",1,0.00306847917556154,"HUVECs","Total Tube Area"
"RFD-L","6",1,1.07386572757321,"HUVECs","Total Tube Area"
"AC50-L","1",0.0001,1.10975396805993,"HUVECs","Total Tube Length"
"POD-L","1",0.0001,1.05621497166294,"HUVECs","Total Tube Length"
"RFD-H","1",0.0001,1.11350724209318,"HUVECs","Total Tube Length"
"Expo-H","1",0.0001,1.04687521060214,"HUVECs","Total Tube Length"
"Expo-L","1",0.0001,1.09717878093002,"HUVECs","Total Tube Length"
"AC50-H","1",0.0001,1.21663412312089,"HUVECs","Total Tube Length"
"POD-H","1",0.0001,1.10587423675174,"HUVECs","Total Tube Length"
"RFD-L","1",0.0001,1.07522600006834,"HUVECs","Total Tube Length"
"AC50-L","2",0.0001,0.910118417533478,"HUVECs","Total Tube Length"
"POD-L","2",0.0001,0.931846397022903,"HUVECs","Total Tube Length"
"RFD-H","2",0.0001,1.07599237319502,"HUVECs","Total Tube Length"
"Expo-H","2",0.0001,1.00780063183814,"HUVECs","Total Tube Length"
"Expo-L","2",0.0001,0.878070162509067,"HUVECs","Total Tube Length"
"AC50-H","2",0.0001,1.35341474451007,"HUVECs","Total Tube Length"
"POD-H","2",0.0001,0.857299653002977,"HUVECs","Total Tube Length"
"RFD-L","2",0.0001,0.914599082377048,"HUVECs","Total Tube Length"
"AC50-L","3",0.0001,0.870772896110275,"HUVECs","Total Tube Length"
"POD-L","3",0.0001,0.845325921952651,"HUVECs","Total Tube Length"
"RFD-H","3",0.0001,0.803462489075584,"HUVECs","Total Tube Length"
"Expo-H","3",0.0001,0.764269029967681,"HUVECs","Total Tube Length"
"Expo-L","3",0.0001,0.993105246725721,"HUVECs","Total Tube Length"
"AC50-H","3",0.0001,1.05040786364349,"HUVECs","Total Tube Length"
"POD-H","3",0.0001,1.12603519062275,"HUVECs","Total Tube Length"
"RFD-L","3",0.0001,1.03218891788187,"HUVECs","Total Tube Length"
"AC50-L","4",0.0001,1.24171515092178,"HUVECs","Total Tube Length"
"POD-L","4",0.0001,1.13332053535708,"HUVECs","Total Tube Length"
"RFD-H","4",0.0001,1.08506607797911,"HUVECs","Total Tube Length"
"Expo-H","4",0.0001,0.980039769265492,"HUVECs","Total Tube Length"
"Expo-L","4",0.0001,1.01364477715937,"HUVECs","Total Tube Length"
"AC50-H","4",0.0001,1.19074451499917,"HUVECs","Total Tube Length"
"POD-H","4",0.0001,1.22982185916711,"HUVECs","Total Tube Length"
"RFD-L","4",0.0001,1.09092745186686,"HUVECs","Total Tube Length"
"AC50-L","5",0.0001,1.12922305181029,"HUVECs","Total Tube Length"
"POD-L","5",0.0001,0.977154628191431,"HUVECs","Total Tube Length"
"RFD-H","5",0.0001,1.12057515627992,"HUVECs","Total Tube Length"
"Expo-H","5",0.0001,1.08409152287335,"HUVECs","Total Tube Length"
"Expo-L","5",0.0001,1.02430010690979,"HUVECs","Total Tube Length"
"AC50-H","5",0.0001,1.05175414510179,"HUVECs","Total Tube Length"
"POD-H","5",0.0001,1.14983293742468,"HUVECs","Total Tube Length"
"RFD-L","5",0.0001,0.911527457871646,"HUVECs","Total Tube Length"
"AC50-L","6",0.0001,1.09705564866621,"HUVECs","Total Tube Length"
"POD-L","6",0.0001,0.948757221174996,"HUVECs","Total Tube Length"
"RFD-H","6",0.0001,0.91617275703542,"HUVECs","Total Tube Length"
"Expo-H","6",0.0001,1.0401264743012,"HUVECs","Total Tube Length"
"Expo-L","6",0.0001,0.884795827765177,"HUVECs","Total Tube Length"
"AC50-H","6",0.0001,1.07031212604326,"HUVECs","Total Tube Length"
"POD-H","6",0.0001,1.08569132157478,"HUVECs","Total Tube Length"
"RFD-L","6",0.0001,1.04623398568063,"HUVECs","Total Tube Length"
"AC50-L","1",0.001,1.01889668642918,"HUVECs","Total Tube Length"
"POD-L","1",0.001,1.16455544743078,"HUVECs","Total Tube Length"
"RFD-H","1",0.001,1.12463255953399,"HUVECs","Total Tube Length"
"Expo-H","1",0.001,1.17306173981741,"HUVECs","Total Tube Length"
"Expo-L","1",0.001,1.09978860908855,"HUVECs","Total Tube Length"
"AC50-H","1",0.001,0.0214349541674435,"HUVECs","Total Tube Length"
"POD-H","1",0.001,1.16940033023708,"HUVECs","Total Tube Length"
"RFD-L","1",0.001,0.844709050618506,"HUVECs","Total Tube Length"
"AC50-L","2",0.001,0.858862132425316,"HUVECs","Total Tube Length"
"POD-L","2",0.001,0.859875306353452,"HUVECs","Total Tube Length"
"RFD-H","2",0.001,1.08558787064069,"HUVECs","Total Tube Length"
"Expo-H","2",0.001,1.04705914851496,"HUVECs","Total Tube Length"
"Expo-L","2",0.001,0.985416328432503,"HUVECs","Total Tube Length"
"AC50-H","2",0.001,0.0638670579502486,"HUVECs","Total Tube Length"
"POD-H","2",0.001,1.04150746336991,"HUVECs","Total Tube Length"
"RFD-L","2",0.001,0.895318417739833,"HUVECs","Total Tube Length"
"AC50-L","3",0.001,0.836532487849328,"HUVECs","Total Tube Length"
"POD-L","3",0.001,0.800195344164189,"HUVECs","Total Tube Length"
"RFD-H","3",0.001,0.923007344230341,"HUVECs","Total Tube Length"
"Expo-H","3",0.001,0.842756277954117,"HUVECs","Total Tube Length"
"Expo-L","3",0.001,1.10572886308782,"HUVECs","Total Tube Length"
"AC50-H","3",0.001,0.0218503445671836,"HUVECs","Total Tube Length"
"POD-H","3",0.001,1.12341846477912,"HUVECs","Total Tube Length"
"RFD-L","3",0.001,0.940417799230206,"HUVECs","Total Tube Length"
"AC50-L","4",0.001,1.08288772025526,"HUVECs","Total Tube Length"
"POD-L","4",0.001,1.12671587816917,"HUVECs","Total Tube Length"
"RFD-H","4",0.001,1.06740212451931,"HUVECs","Total Tube Length"
"Expo-H","4",0.001,1.10388752913795,"HUVECs","Total Tube Length"
"Expo-L","4",0.001,0.962410354748862,"HUVECs","Total Tube Length"
"AC50-H","4",0.001,0.254806542618043,"HUVECs","Total Tube Length"
"POD-H","4",0.001,1.16335550617175,"HUVECs","Total Tube Length"
"RFD-L","4",0.001,1.01259576724453,"HUVECs","Total Tube Length"
"AC50-L","5",0.001,1.08572333019185,"HUVECs","Total Tube Length"
"POD-L","5",0.001,1.01688460669864,"HUVECs","Total Tube Length"
"RFD-H","5",0.001,1.04065556550504,"HUVECs","Total Tube Length"
"Expo-H","5",0.001,1.07919243201788,"HUVECs","Total Tube Length"
"Expo-L","5",0.001,0.976196140664506,"HUVECs","Total Tube Length"
"AC50-H","5",0.001,0.131922109519153,"HUVECs","Total Tube Length"
"POD-H","5",0.001,1.05157449194865,"HUVECs","Total Tube Length"
"RFD-L","5",0.001,1.09290452217369,"HUVECs","Total Tube Length"
"AC50-L","6",0.001,0.912579504177803,"HUVECs","Total Tube Length"
"POD-L","6",0.001,0.88085104937427,"HUVECs","Total Tube Length"
"RFD-H","6",0.001,0.842545707715833,"HUVECs","Total Tube Length"
"Expo-H","6",0.001,1.09981952384975,"HUVECs","Total Tube Length"
"Expo-L","6",0.001,0.983881436859701,"HUVECs","Total Tube Length"
"AC50-H","6",0.001,0.210932063914864,"HUVECs","Total Tube Length"
"POD-H","6",0.001,0.959482198131091,"HUVECs","Total Tube Length"
"RFD-L","6",0.001,0.932962546097751,"HUVECs","Total Tube Length"
"AC50-L","1",0.1,1.0644018809464,"HUVECs","Total Tube Length"
"POD-L","1",0.1,1.21881817680193,"HUVECs","Total Tube Length"
"RFD-H","1",0.1,1.12610678008782,"HUVECs","Total Tube Length"
"Expo-H","1",0.1,1.14816522074588,"HUVECs","Total Tube Length"
"Expo-L","1",0.1,1.08384694011327,"HUVECs","Total Tube Length"
"AC50-H","1",0.1,0.000635220712782107,"HUVECs","Total Tube Length"
"POD-H","1",0.1,0.589866259972854,"HUVECs","Total Tube Length"
"RFD-L","1",0.1,1.03713820636243,"HUVECs","Total Tube Length"
"AC50-L","2",0.01,1.0225779529299,"HUVECs","Total Tube Length"
"POD-L","2",0.01,1.1200343207204,"HUVECs","Total Tube Length"
"RFD-H","2",0.01,1.03190130587273,"HUVECs","Total Tube Length"
"Expo-H","2",0.01,1.04429704903415,"HUVECs","Total Tube Length"
"Expo-L","2",0.01,1.0085366969999,"HUVECs","Total Tube Length"
"AC50-H","2",0.01,0,"HUVECs","Total Tube Length"
"POD-H","2",0.01,0.887191183747795,"HUVECs","Total Tube Length"
"RFD-L","2",0.01,0.895485424990485,"HUVECs","Total Tube Length"
"AC50-L","3",0.01,0.829839290277875,"HUVECs","Total Tube Length"
"POD-L","3",0.01,0.857467496361805,"HUVECs","Total Tube Length"
"RFD-H","3",0.01,0.910531441755908,"HUVECs","Total Tube Length"
"Expo-H","3",0.01,0.933559841366889,"HUVECs","Total Tube Length"
"Expo-L","3",0.01,1.11744027360539,"HUVECs","Total Tube Length"
"AC50-H","3",0.01,0,"HUVECs","Total Tube Length"
"POD-H","3",0.01,0.392797897425659,"HUVECs","Total Tube Length"
"RFD-L","3",0.01,0.850572489630446,"HUVECs","Total Tube Length"
"AC50-L","4",0.01,1.16315674908084,"HUVECs","Total Tube Length"
"POD-L","4",0.01,1.04017543611934,"HUVECs","Total Tube Length"
"RFD-H","4",0.01,0.852593189850383,"HUVECs","Total Tube Length"
"Expo-H","4",0.01,0.932785233508394,"HUVECs","Total Tube Length"
"Expo-L","4",0.01,1.05665064237707,"HUVECs","Total Tube Length"
"AC50-H","4",0.01,0.232329481909121,"HUVECs","Total Tube Length"
"POD-H","4",0.01,0.68686094203393,"HUVECs","Total Tube Length"
"RFD-L","4",0.01,0.970194839727202,"HUVECs","Total Tube Length"
"AC50-L","5",0.01,1.13310697583419,"HUVECs","Total Tube Length"
"POD-L","5",0.01,1.12294177029805,"HUVECs","Total Tube Length"
"RFD-H","5",0.01,1.14428393228596,"HUVECs","Total Tube Length"
"Expo-H","5",0.01,0.999584703894414,"HUVECs","Total Tube Length"
"Expo-L","5",0.01,1.00046772444944,"HUVECs","Total Tube Length"
"AC50-H","5",0.01,0,"HUVECs","Total Tube Length"
"POD-H","5",0.01,1.08828009819215,"HUVECs","Total Tube Length"
"RFD-L","5",0.01,1.08131702032019,"HUVECs","Total Tube Length"
"AC50-L","6",0.01,0.956823837529752,"HUVECs","Total Tube Length"
"POD-L","6",0.01,1.09706450479136,"HUVECs","Total Tube Length"
"RFD-H","6",0.01,0.858924318770615,"HUVECs","Total Tube Length"
"Expo-H","6",0.01,0.918408047112731,"HUVECs","Total Tube Length"
"Expo-L","6",0.01,1.01473465188121,"HUVECs","Total Tube Length"
"AC50-H","6",0.01,0.172659569014673,"HUVECs","Total Tube Length"
"POD-H","6",0.01,0.365616433521534,"HUVECs","Total Tube Length"
"RFD-L","6",0.01,0.928456288328917,"HUVECs","Total Tube Length"
"AC50-L","1",0.1,1.0644018809464,"HUVECs","Total Tube Length"
"POD-L","1",0.1,1.21881817680193,"HUVECs","Total Tube Length"
"RFD-H","1",0.1,1.12610678008782,"HUVECs","Total Tube Length"
"Expo-H","1",0.1,1.14816522074588,"HUVECs","Total Tube Length"
"Expo-L","1",0.1,1.08384694011327,"HUVECs","Total Tube Length"
"AC50-H","1",0.1,0.000635220712782107,"HUVECs","Total Tube Length"
"POD-H","1",0.1,0.589866259972854,"HUVECs","Total Tube Length"
"RFD-L","1",0.1,1.03713820636243,"HUVECs","Total Tube Length"
"AC50-L","2",0.1,1.1009729184227,"HUVECs","Total Tube Length"
